team1,team2,odd_team1_win,odd_draw,odd_team2_win,sport,competition
Roma,Bologne,1.96,2.91,3.27,football,serie-a
Genoa,Lecce,1.81,2.98,3.68,football,serie-a
Juventus,Parme,1.34,4.0,6.0,football,serie-a
Atalanta,Pise,1.31,4.25,6.25,football,serie-a
Côme,Lazio,2.49,2.94,2.39,football,serie-a
Cagliari,Fiorentina,2.96,2.99,2.05,football,serie-a
Inter,Torino,1.34,4.1,5.9,football,serie-a
Sassuolo,Naples,5.5,3.77,1.4,football,serie-a
Milan,Cremonese,1.29,4.27,6.75,football,serie-a
Udinese,Vérone,1.88,2.93,3.5,football,serie-a
Internacional,Vitoria BA,1.5,3.18,5.0,football,serie-a-brasil
Bahia Salvador,Atletico Mineiro,2.19,2.7,2.83,football,serie-a-brasil
Mirassol,Fluminense,2.39,2.85,2.44,football,serie-a-brasil
Flamengo,Sao Paulo,1.4,3.45,5.75,football,serie-a-brasil
Vasco de Gama,Botafogo,2.7,2.86,2.17,football,serie-a-brasil
Santos,Palmeiras,2.94,2.93,2.01,football,serie-a-brasil
Corinthians,Bragantino,1.9,2.92,3.2,football,serie-a-brasil
Cruzeiro,Gremio,1.61,3.25,3.97,football,serie-a-brasil
Fortaleza,Ceara,1.89,2.9,3.25,football,serie-a-brasil
Juventude,Sport Recife,2.24,2.84,2.63,football,serie-a-brasil
Indiana Pacers,Oklahoma City Thunder,2.5,,1.47,basketball,nba
