team1,team2,key,odd_team1_win,odd_draw,odd_team2_win,sport,competition
EC Bahia,Sao Paulo,EC Bahia v Sao Paulo,1.83,2.98,4.2,football,serie-a-brasil
Vasco da Gama,Red Bull Bragantino,Vasco da Gama v Red Bull Bragantino,2.34,2.9,2.88,football,serie-a-brasil
Mirassol FC SP,Sport Recife,Mirassol FC SP v Sport Recife,1.9,3.08,3.72,football,serie-a-brasil
EC Juventude,Gremio,EC Juventude v Gremio,2.55,3.02,2.45,football,serie-a-brasil
Santos,Botafogo,Santos v Botafogo,2.35,2.85,2.82,football,serie-a-brasil
Ceara SC,Atletico Mineiro,Ceara SC v Atletico Mineiro,2.62,2.9,2.47,football,serie-a-brasil
Corinthians,Vitoria BA,Corinthians v Vitoria BA,1.59,3.32,5.0,football,serie-a-brasil
Flamengo,Fortaleza,Flamengo v Fortaleza,1.33,4.2,7.2,football,serie-a-brasil
Cruzeiro,Palmeiras,Cruzeiro v Palmeiras,2.9,2.72,2.39,football,serie-a-brasil
Internacional,Fluminense,Internacional v Fluminense,1.86,3.05,3.8,football,serie-a-brasil
Botafogo,Ceara SC,Botafogo v Ceara SC,1.49,3.32,4.8,football,serie-a-brasil
Red Bull Bragantino,EC Bahia,Red Bull Bragantino v EC Bahia,1.81,2.95,3.25,football,serie-a-brasil
Vitoria BA,Cruzeiro,Vitoria BA v Cruzeiro,2.25,2.9,2.44,football,serie-a-brasil
Fortaleza,Santos,Fortaleza v Santos,1.95,2.95,2.9,football,serie-a-brasil
Gremio,Corinthians,Gremio v Corinthians,2.02,2.92,2.75,football,serie-a-brasil
Atletico Mineiro,Internacional,Atletico Mineiro v Internacional,1.99,2.92,2.82,football,serie-a-brasil
Sao Paulo,Vasco da Gama,Sao Paulo v Vasco da Gama,1.61,3.05,4.0,football,serie-a-brasil
BB Bodrumspor,Besiktas,BB Bodrumspor v Besiktas,3.92,3.65,1.67,football,super-lig
Samsunspor,Kayserispor,Samsunspor v Kayserispor,1.49,3.9,4.95,football,super-lig
Rapid Vienne,LASK Linz,Rapid Vienne v LASK Linz,1.82,3.48,3.52,football,bundesliga-austria
Indiana Pacers,New York Knicks,Indiana Pacers v New York Knicks,1.57,,2.47,basketball,nba
